ObjectNo,StepSequenceNo,SequenceNo,Datetime,LAACA_PR001,LAACA_PR002,LAACA_PR003,LAACA_PR004,LAACA_PR005,LAACA_PR006,LAACA_PR007,LAACA_PR008,LAACA_PR009,LAACA_PR010,LAACA_PR011,LAACA_PR012,LAACA_PR013,LAACA_PR014,LAACA_PR015,LAACA_PR016,LAACA_PR017,LAACA_PR018,LAACA_PR019,LAACA_PR020,LAACA_PR021,LAACA_PR022,LAACA_PR027,LAACA_PR028,LAACA_PR029,LAACA_PR030,LAACA_PR031,LAACA_PR032,LAACA_PR033,LAACA_PR034,LAACA_PR035,LAACA_PR036,LAACA_PR037,LAACA_PR038,LAACA_PR039,LAACA_PR040,LAACA_PR041,LAACA_PR042,LAACA_PR043,LAACA_PR044
对象号,工步号,顺序号,时间戳,结果_辊压速度,结果_传动侧主辊位置,结果_操作侧主辊位置,结果_传动侧上弯缸压力,结果_操作侧上弯缸压力,结果_上刀速比,结果_下刀速比,结果_上收速比,结果_下收速比,结果_毛刷速比,结果_放卷张力,结果_入牵张力,结果_出牵张力,结果_分切入牵张力,结果_上收卷张力,结果_下收卷张力,结果_上收卷锥度,结果_下收卷锥度,结果_放卷摆辊位置,结果_入牵摆辊位置,结果_出牵摆辊位置,结果_分切入牵摆辊位置,结果_上卷宽度偏移量,结果_下卷宽度偏移量,结果_极片厚度k值,结果_极片厚度b值,结果_激光功率,结果_激光频率,结果_激光离焦量,结果_激光脉宽,结果_激光器横向距离,结果_辊压长度,结果_分切长度,结果_放卷卷径,结果_上收卷长度,结果_上收卷卷径,结果_下收卷长度,结果_下收卷卷径,结果_激光除尘风速1,结果_激光除尘风速2
E3J2BC1282,0,10,2024-03-18 15:22:33,4.989462,489.3,492.8,14.75274,13.13112,0,0,1.2,1.2,2,61.24174,319.5806,149.337,120.8285,60.11181,59.85621,10,10,50.44099,50.35832,48.89355,49.30556,0,0,1,1.5,40,250,-0.4679775,120,7.444616,6.520758,7.657884,777.5556,7.657884,696.6802,7.657884,661.9131,26.17106,24.90381
E3J2BC1282,0,11,2024-03-18 15:22:45,4.989462,486.5,492.1,14.6073,13.27161,0,0,1.2,1.2,2,61.03513,319.488,144.2031,120.2729,59.08092,58.90227,10,10,50.71967,50.7574,48.94677,50.45834,0,0,1,1.5,40,250,-0.4679718,120,7.444619,7.09411,8.231236,780.335,8.231236,694.9335,8.231236,662.4546,26.0795,24.90575
E3J2BC1282,0,12,2024-03-18 15:22:51,29.97551,482.9,491,15.04185,13.70301,0,0,1.2,1.2,2,59.95088,318.7056,145.2404,117.1375,54.92215,56.4845,10,10,55.34754,53.78148,48.04758,56.47131,0,0,1,1.5,40,250,-0.4679737,120,7.444616,9.151298,10.28842,780.5073,10.28842,696.6802,10.28842,662.063,26.09119,24.90581
E3J2BC1282,0,13,2024-03-18 15:22:57,29.95614,474.2,481.3,15.90812,15.38651,0,0,1.2,1.2,2,59.67642,320.0559,148.2498,121.342,60.46508,61.01411,10,10,51.65983,51.80092,45.10807,47.70279,0,0,1,1.5,40,250,-0.4679737,120,7.444619,12.17493,13.31206,780.167,13.31206,696.965,13.31206,662.6093,26.11044,24.90719
E3J2BC1282,0,14,2024-03-18 15:23:03,29.97551,475,483.6,15.65392,14.76465,0,0,1.2,1.2,2,60.1137,320.246,149.0996,121.1039,60.14827,60.69914,10,10,50.53689,50.8102,48.93952,48.5352,0,0,1,1.5,40,250,-0.4679756,120,7.444616,15.18845,16.32557,779.6854,16.32557,697.302,16.32557,663.0541,26.011,24.90806
E3J2BC1282,0,15,2024-03-18 15:23:09,4.989462,476.3,483.7,15.16369,14.42544,0,0,1.2,1.2,2,61.78387,319.7512,152.9763,125.5068,65.36685,65.49337,10,10,51.4959,57.2787,27.57178,36.7287,0,0,1,1.5,40,250,-0.4679737,120,7.444616,17.43064,18.56777,780.9933,18.56777,697.9143,18.56777,663.1314,26.10975,24.90869
E3J2BC1282,0,16,2024-03-18 15:23:15,5.004957,480.9,485.1,14.57037,14.03205,0,0,1.2,1.2,2,62.02193,320.0461,150.5293,119.9864,59.18024,59.0249,10,10,47.65983,48.02223,57.0113,51.16946,0,0,1,1.5,40,250,-0.4679737,120,7.444624,17.90599,19.04312,777.9047,19.04312,697.0931,19.04312,663.5714,26.11125,24.90931
E3J2BC1282,0,17,2024-03-18 15:23:21,4.970093,480.1,484.7,14.49703,13.91489,0,0,1.2,1.2,2,60.73354,319.6805,150.7043,119.401,59.43293,59.52059,10,10,49.26968,49.05925,51.72097,50.84538,0,0,1,1.5,40,250,-0.4679756,120,7.444619,18.41325,19.55037,776.9017,19.55037,697.1596,19.55037,663.4118,26.07356,24.90963
E3J2BC1282,0,18,2024-03-18 15:23:27,4.954598,480.8,484,14.92273,14.01237,0,0,1.2,1.2,2,60.42455,319.5124,149.487,119.7892,58.45358,60.11309,10,10,49.76803,49.59444,50.27984,50.29446,0,0,1,1.5,40,250,-0.4679737,120,7.444624,18.91286,20.04999,778.2361,20.04999,698.4554,20.04999,663.378,26.10619,24.91081
E3J2BC1282,0,19,2024-03-18 15:23:33,0,481.3,483.8,14.60954,14.0524,0,0,1.2,1.2,2,60.47203,318.7007,151.2941,119.9033,58.60445,60.12988,10,10,50.11721,51.98982,47.96694,50.19724,0,0,1,1.5,40,250,-0.4679775,120,7.444621,19.38999,20.52711,780.7989,20.52711,698.0804,20.52711,663.7454,26.0855,24.91063
