ObjectNo,StepSequenceNo,SequenceNo,Datetime,LAACA_PR001,LAACA_PR002,LAACA_PR003,LAACA_PR004,LAACA_PR005,LAACA_PR006,LAACA_PR007,LAACA_PR008,LAACA_PR009,LAACA_PR010,LAACA_PR011,LAACA_PR012,LAACA_PR013,LAACA_PR014,LAACA_PR015,LAACA_PR016,LAACA_PR017,LAACA_PR018,LAACA_PR019,LAACA_PR020,LAACA_PR021,LAACA_PR022,LAACA_PR027,LAACA_PR028,LAACA_PR029,LAACA_PR030,LAACA_PR031,LAACA_PR032,LAACA_PR033,LAACA_PR034,LAACA_PR035,LAACA_PR036,LAACA_PR037,LAACA_PR038,LAACA_PR039,LAACA_PR040,LAACA_PR041,LAACA_PR042,LAACA_PR043,LAACA_PR044
对象号,工步号,顺序号,时间戳,结果_辊压速度,结果_传动侧主辊位置,结果_操作侧主辊位置,结果_传动侧上弯缸压力,结果_操作侧上弯缸压力,结果_上刀速比,结果_下刀速比,结果_上收速比,结果_下收速比,结果_毛刷速比,结果_放卷张力,结果_入牵张力,结果_出牵张力,结果_分切入牵张力,结果_上收卷张力,结果_下收卷张力,结果_上收卷锥度,结果_下收卷锥度,结果_放卷摆辊位置,结果_入牵摆辊位置,结果_出牵摆辊位置,结果_分切入牵摆辊位置,结果_上卷宽度偏移量,结果_下卷宽度偏移量,结果_极片厚度k值,结果_极片厚度b值,结果_激光功率,结果_激光频率,结果_激光离焦量,结果_激光脉宽,结果_激光器横向距离,结果_辊压长度,结果_分切长度,结果_放卷卷径,结果_上收卷长度,结果_上收卷卷径,结果_下收卷长度,结果_下收卷卷径,结果_激光除尘风速1,结果_激光除尘风速2
E3J2BC0942,0,0,2024/3/18 11:00,4.970093,485.1,485.3,13.88295,12.09369,0,0,1.2,1.2,2,60.353,320.8846,146.1902,119.2795,64.57231,65.05706,10,10,51.00738,46.60277,53.7121,48.5,0,0,1,1.5,40,250,-0.4679661,120,7.089984,0.08047599,0.08047599,254.5595,0.08047599,260.6595,0.08047599,222.4048,10.93237,1.3445
E3J2BC0942,0,1,2024/3/18 11:00,4.954598,482.9,485.1,13.8592,12.02217,0,0,1.2,1.2,2,61.45637,322.0618,147.26,118.6196,64.77849,65.4185,10,10,50.75982,50.43056,48.82177,49.63519,0,0,1,1.5,40,250,-0.467968,120,7.089982,0.5853891,0.5853891,253.8458,0.5853891,261.7559,0.5853891,222.1147,14.63481,11.69856
E3J2BC0942,0,2,2024/3/18 11:00,5.004957,482.3,485.4,13.89256,12.34041,0,0,1.2,1.2,2,61.31267,320.1558,146.2827,118.4051,62.63122,64.61301,10,10,51.37951,50.73332,48.95644,50.19629,0,0,1,1.5,40,250,-0.467968,120,7.089984,1.094608,1.094608,252.9746,1.094608,258.291,1.094608,221.1962,25.322,24.903
E3J2BC0942,0,3,2024/3/18 11:00,4.989462,481.7,485.3,13.72799,12.09508,0,0,1.2,1.2,2,61.06843,320.168,149.372,119.0277,64.27687,65.12289,10,10,50.45,50.34538,49.48791,49.71205,0,0,1,1.5,40,250,-0.4679699,120,7.089987,1.591749,1.591749,253.7671,1.591749,259.0599,1.591749,220.9061,26.13806,24.90713
E3J2BC0942,0,4,2024/3/18 11:00,6.248449,483.4,485.6,13.65406,12.27338,0,0,1.2,1.2,2,60.9901,320.8529,148.9971,119.148,64.72192,65.25585,10,10,50.17623,49.96297,50.10967,49.80371,0,0,1,1.5,40,250,-0.467968,120,7.089984,2.090502,2.090502,252.1497,2.090502,259.5109,2.090502,221.4089,26.16856,24.9095
E3J2BC0942,0,5,2024/3/18 11:00,19.98109,477,483.4,14.33873,13.04713,0,0,1.2,1.2,2,59.81396,319.9438,145.6778,118.4584,65.52274,65.75283,10,10,54.28852,51.68239,45.03387,49.87964,0,0,1,1.5,40,250,-0.4679718,120,7.089987,3.982826,3.982826,250.171,3.982826,259.6058,3.982826,222.0374,26.07288,24.9095
E3J2BC0942,0,6,2024/3/18 11:00,32.05574,476.8,483.4,14.58643,13.07208,0,0,1.2,1.2,2,60.71442,322.442,146.7501,118.9458,64.51574,64.72661,10,10,49.93771,42.59814,59.04435,50.60278,0,0,1,1.5,40,250,-0.4679642,120,7.089984,6.126985,6.126985,253.2295,6.126985,259.9713,6.126985,222.7626,26.10681,24.91
E3J2BC0942,0,7,2024/3/18 11:00,39.98155,480.8,483.4,14.22472,12.82792,0,0,1.2,1.2,2,58.98566,319.9633,149.6695,119.5498,65.74778,65.8987,10,10,55.32214,52.33333,43.12742,48.35464,0,0,1,1.5,40,250,-0.4679718,120,7.143956,10.15243,10.15243,249.8188,10.15243,260.65,10.15243,223.6328,26.04731,24.91069
E3J2BC0942,0,8,2024/3/18 11:01,59.97814,478.3,483.3,14.53139,13.21057,0,0,1.2,1.2,2,59.47968,318.9883,151.6991,117.9871,64.16875,64.2748,10,10,58.0295,53.81297,46.32661,53.10649,0,0,1,1.5,40,250,-0.4679699,120,7.144068,15.44711,15.44711,249.8419,15.44711,262.4156,15.44711,225.6342,26.00869,24.91187
