ObjectNo,StepSequenceNo,SequenceNo,Datetime,LAACA_PR001,LAACA_PR002,LAACA_PR003,LAACA_PR004,LAACA_PR005,LAACA_PR006,LAACA_PR007,LAACA_PR008,LAACA_PR009,LAACA_PR010,LAACA_PR011,LAACA_PR012,LAACA_PR013,LAACA_PR014,LAACA_PR015,LAACA_PR016,LAACA_PR017,LAACA_PR018,LAACA_PR019,LAACA_PR020,LAACA_PR021,LAACA_PR022,LAACA_PR027,LAACA_PR028,LAACA_PR029,LAACA_PR030,LAACA_PR031,LAACA_PR032,LAACA_PR033,LAACA_PR034,LAACA_PR035,LAACA_PR036,LAACA_PR037,LAACA_PR038,LAACA_PR039,LAACA_PR040,LAACA_PR041,LAACA_PR042,LAACA_PR043,LAACA_PR044
对象号,工步号,顺序号,时间戳,结果_辊压速度,结果_传动侧主辊位置,结果_操作侧主辊位置,结果_传动侧上弯缸压力,结果_操作侧上弯缸压力,结果_上刀速比,结果_下刀速比,结果_上收速比,结果_下收速比,结果_毛刷速比,结果_放卷张力,结果_入牵张力,结果_出牵张力,结果_分切入牵张力,结果_上收卷张力,结果_下收卷张力,结果_上收卷锥度,结果_下收卷锥度,结果_放卷摆辊位置,结果_入牵摆辊位置,结果_出牵摆辊位置,结果_分切入牵摆辊位置,结果_上卷宽度偏移量,结果_下卷宽度偏移量,结果_极片厚度k值,结果_极片厚度b值,结果_激光功率,结果_激光频率,结果_激光离焦量,结果_激光脉宽,结果_激光器横向距离,结果_辊压长度,结果_分切长度,结果_放卷卷径,结果_上收卷长度,结果_上收卷卷径,结果_下收卷长度,结果_下收卷卷径,结果_激光除尘风速1,结果_激光除尘风速2
E3E2BC1911,0,12,2024/3/14 17:27,20.8527,461.3,448.7,14.00841,14.05924,0,0,1.2,1.2,2,60.13405,313.0121,143.2033,113.2791,63.61559,64.33031,10,10,47.10082,39.25092,66.3863,54.26852,0,0,1,1.5,37,180,-0.4679737,120,5.28707,20.64381,21.23514,769.6033,21.23514,280.8413,21.23514,244.6335,32.72344,24.91438
E3E2BC1911,0,13,2024/3/14 17:27,0,462.3,459.4,13.72723,11.95715,0,0,1.2,1.2,2,58.98011,312.471,138.1093,120.4503,67.93277,67.46967,10,10,56.19836,64.87221,11.13871,34.61853,0,0,1,1.5,37,180,-0.4679756,120,5.287066,23.37096,23.96229,771.4047,23.96229,281.1688,23.96229,245.2427,32.5655,24.91569
E3E2BC1911,0,14,2024/3/14 17:32,4.970093,462.3,458.3,15.00732,13.70203,0,0,1.2,1.2,2,60.31168,319.9608,142.9758,119.2075,61.47209,60.98184,10,10,49.28361,47.93889,55.77743,50.78983,0,0,1,1.5,37,180,-0.4679737,120,5.287066,23.49841,24.08974,759.0861,24.08974,260.7022,24.08974,223.2557,32.907,24.92119
E3E2BC1911,0,15,2024/3/14 17:33,4.970093,462,458.5,15.02407,13.48112,0,0,1.2,1.2,2,58.54283,319.5002,147.23,117.3161,63.09261,63.46544,10,10,50.74427,50.47777,48.45161,49.54167,0,0,1,1.5,37,180,-0.4679718,120,5.287066,24.00243,24.59377,759.7314,24.59377,261.0914,24.59377,223.2702,32.76194,24.92025
E3E2BC1911,0,16,2024/3/14 17:33,29.991,456.9,455.6,15.33669,14.81972,0,0,1.2,1.2,2,58.24494,318.8129,140.4763,114.817,62.56584,62.91295,10,10,52.22869,48.8889,63.69515,61.00926,0,0,1,1.5,37,180,-0.4679775,120,5.287073,25.52851,26.11985,761.5911,26.11985,261.1104,26.11985,223.5844,32.77825,24.92131
E3E2BC1911,0,17,2024/3/14 17:33,29.991,458.6,455.6,15.02699,14.76276,0,0,1.2,1.2,2,57.4703,318.9152,147.8074,118.7015,65.31908,65.47014,10,10,52.87542,52.37593,42.83144,47.6824,0,0,1,1.5,37,180,-0.4679813,120,5.630561,28.55581,29.14714,762.0391,29.14714,262.2258,29.14714,224.5948,32.64262,24.92081
E3E2BC1911,0,18,2024/3/14 17:33,30.0065,459.2,452.2,14.99642,15.1057,0,0,1.2,1.2,2,58.23199,319.8731,149.1996,119.1157,65.08902,65.35267,10,10,51.06394,51.11574,47.99758,48.38242,0,0,1,1.5,37,180,-0.4679813,120,5.630632,31.56739,32.15873,759.2609,32.15873,263.4694,32.15873,225.552,32.63994,24.92081
E3E2BC1911,0,19,2024/3/14 17:33,30.0065,458.7,453,14.83689,14.42943,0,0,1.2,1.2,2,58.97147,319.5709,150.5868,119.014,64.94444,65.33589,10,10,50.28031,50.4926,49.64516,48.93056,0,0,1,1.5,37,180,-0.4679813,120,5.630632,34.57574,35.16707,759.5028,35.16707,263.8586,35.16707,226.4802,32.64869,24.92125
E3E2BC1911,0,20,2024/3/14 17:33,29.991,477.8,468.6,13.34225,11.34781,0,0,1.2,1.2,2,58.84196,319.5709,150.5443,119.2547,64.9105,65.12935,10,10,49.88277,50.26204,49.82177,49.21112,0,0,1,1.5,37,180,-0.4679813,120,5.693145,37.59515,38.18649,761.3043,38.18649,264.9455,38.18649,227.6743,32.63781,24.92075
E3E2BC1911,0,21,2024/3/14 17:33,19.98109,480.6,469,13.03811,11.07595,0,0,1.2,1.2,2,59.50003,320.2752,150.2643,121.1324,65.36057,65.8148,10,10,47.69509,48.69817,50.18388,46.26761,0,0,1,1.5,37,180,-0.4679813,120,5.693257,40.05882,40.65016,758.6335,40.65016,265.9992,40.65016,228.472,32.64138,24.92006
